name,pcode,mean,std,max,min,q90,time_of_prediction
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-05 07:00:00
Bukonjo,UG411501,0.04642857142857143,0.12951045974620534,0.6,0.0,0.2,2023-04-05 08:00:00
Busongora,UG411502,0.16785714285714287,0.39646074515515356,2.0,0.0,0.6,2023-04-05 08:00:00
Kasese Municipality,UG411503,0.10833333333333334,0.3593010189551683,1.3,0.0,0.0,2023-04-05 08:00:00
Bukonjo,UG411501,0.17857142857142858,0.3829930462415574,1.5,0.0,0.7600000000000001,2023-04-05 09:00:00
Busongora,UG411502,0.4321428571428571,0.9778086182262616,4.1,0.0,1.9500000000000002,2023-04-05 09:00:00
Kasese Municipality,UG411503,0.03333333333333333,0.11055415967851334,0.4,0.0,0.0,2023-04-05 09:00:00
Bukonjo,UG411501,0.1142857142857143,0.34300592010122777,1.6,0.0,0.29000000000000026,2023-04-05 10:00:00
Busongora,UG411502,0.23392857142857143,0.7051536777069757,4.7,0.0,0.55,2023-04-05 10:00:00
Kasese Municipality,UG411503,0.06666666666666667,0.22110831935702668,0.8,0.0,0.0,2023-04-05 10:00:00
Bukonjo,UG411501,0.024999999999999998,0.07379992257061364,0.3,0.0,0.060000000000000143,2023-04-05 11:00:00
Busongora,UG411502,0.05178571428571428,0.18026871948424605,1.1,0.0,0.1,2023-04-05 11:00:00
Kasese Municipality,UG411503,0.11666666666666665,0.3869395588747966,1.4,0.0,0.0,2023-04-05 11:00:00
Bukonjo,UG411501,0.042857142857142864,0.11473127431577866,0.5,0.0,0.2,2023-04-05 12:00:00
Busongora,UG411502,0.033928571428571426,0.08297328682492103,0.4,0.0,0.2,2023-04-05 12:00:00
Kasese Municipality,UG411503,0.024999999999999998,0.08291561975888499,0.3,0.0,0.0,2023-04-05 12:00:00
Bukonjo,UG411501,0.014285714285714287,0.05150787536377128,0.2,0.0,0.0,2023-04-05 13:00:00
Busongora,UG411502,0.03214285714285714,0.08885610931874807,0.4,0.0,0.2,2023-04-05 13:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-05 13:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-05 14:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-05 14:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-05 14:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-05 15:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-05 15:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-05 15:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-05 16:00:00
Busongora,UG411502,0.005357142857142857,0.039729634752298196,0.3,0.0,0.0,2023-04-05 16:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-05 16:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-05 17:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-05 17:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-05 17:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-05 18:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-05 18:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-05 18:00:00
